regime,lambda,status,utility,p_layer_8,p_layer_9,p_layer_10,p_layer_11,p_layer_12,p_layer_13,p_layer_14,p_layer_15,p_layer_16
Track A sensitive (alpha=1.5),25.0,optimal,49.7192856749686,0.004286544805038794,0.12428557543845613,0.3742855754633334,1.8563856523195893e-09,6.829614748249089e-10,0.12428557543845613,0.12428557543845613,0.12428557543845613,0.12428557543845613
Track A sensitive (alpha=1.5),50.0,optimal,45.21678561676694,0.07357142850209904,0.1335714262871626,0.2585714256726929,1.2757252753797482e-08,1.6321422996596036e-09,0.1335714262871626,0.1335714262871626,0.1335714262871626,0.1335714262871626
Track B (alpha=3.0),0.0,optimal,97.50000001148574,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
Track B (alpha=3.0),1.0,optimal,97.33333334293586,0.1666666666666666,0.0,0.0,0.0,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669
Track B (alpha=3.0),5.0,optimal,96.66666666892795,0.16666666666666663,0.0,0.0,0.0,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669
Track B (alpha=3.0),10.0,optimal,95.8333334275408,0.16666666666666669,0.0,0.0,0.0,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669
Track B (alpha=3.0),25.0,optimal,93.33333333283194,0.1666666665868462,0.0,0.0,4.789227949102406e-10,0.1666666665868462,0.1666666665868462,0.1666666665868462,0.1666666665868462,0.1666666665868462
Track B (alpha=3.0),50.0,optimal,89.16666656404159,0.16666666617829717,6.359134091061951e-10,2.4967318831787167e-11,2.26933566881286e-09,0.16666666617829726,0.16666666617829726,0.16666666617829726,0.16666666617829726,0.16666666617829726
Clean baseline,0.0,optimal,-2.4999999999999996,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
Clean baseline,1.0,optimal,-2.6111111111111107,0.11111111111111113,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
Clean baseline,5.0,optimal,-3.0555555555555554,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112
Clean baseline,10.0,optimal,-3.611111111111112,0.11111111111111112,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
Clean baseline,25.0,optimal,-5.277777777777775,0.11111111111111115,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112
Clean baseline,50.0,optimal,-8.055555555555555,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112
